numero_uai,denomination_principale_uai,patronyme_uai,adresse_uai,localite_acheminement_uai,departement,code_postal_uai,full_name
0030059Y,LYCEE PROFESSIONNEL,MAURICE GUYOT,RUE ERNEST MONTUSES,MONTLUCON CEDEX,003,03105,LYCEE PROFESSIONNEL MAURICE GUYOT
0030061A,LP LYCEE DES METIERS,ALBERT LONDRES,BOULEVARD DU 8 MAI 1945,CUSSET CEDEX,003,03306,LP LYCEE DES METIERS ALBERT LONDRES
0031041R,LYCEE TECHNOLOGIQUE PRIVE,ANNA RODIER,10  RUE DE BOURGOGNE,MOULINS,003,03000,LYCEE TECHNOLOGIQUE PRIVE ANNA RODIER
0031043T,LPO LYCEE DES METIERS,ALBERT EINSTEIN,Rue ALBERT EINSTEIN,MONTLUCON CEDEX,003,03105,LPO LYCEE DES METIERS ALBERT EINSTEIN
0031046W,LYCEE PROFESSIONNEL PRIVE,FORMATION CONTINUE - NIXOR,62 AVENUE PAUL DOUMER,VICHY,003,03200,LYCEE PROFESSIONNEL PRIVE FORMATION CONTINUE - NIXOR
0031047X,LYCEE PROFESSIONNEL AGRICOLE,DURDAT LAREQUILLE,,DURDAT LAREQUILLE,003,03310,LYCEE PROFESSIONNEL AGRICOLE DURDAT LAREQUILLE
0040010P,LYCEE GENERAL ET TECHNOLOGIQUE,FELIX ESCLANGON,BOULEVARD MARTIN BRET,MANOSQUE CEDEX,004,04103,LYCEE GENERAL ET TECHNOLOGIQUE FELIX ESCLANGON
0040011R,LP LYCEE DES METIERS,LOUIS MARTIN BRET,ALLÉE DU PARC,MANOSQUE CEDEX,004,04101,LP LYCEE DES METIERS LOUIS MARTIN BRET
0101022G,LP LYCEE DES METIERS,EDOUARD HERRIOT,Rue LA MALADIERE,LA CHAPELLE ST LUC,010,10600,LP LYCEE DES METIERS EDOUARD HERRIOT
0101028N,LYCEE GENERAL,CAMILLE CLAUDEL,28  RUE DES TERRASSES,TROYES CEDEX,010,10026,LYCEE GENERAL CAMILLE CLAUDEL
0060081F,LYCEE PROFESSIONNEL,FERRY (JULES),82 BOULEVARD DE LA REPUBLIQUE,CANNES CEDEX,006,06402,LYCEE PROFESSIONNEL FERRY (JULES)
0060082G,LP LYCEE DES METIERS,LES EUCALYPTUS,7  AVENUE DES EUCALYPTUS,NICE CEDEX 3,006,06206,LP LYCEE DES METIERS LES EUCALYPTUS
0021938W,LYCEE GEN.ET TECHNOL.PRIVE,C.C.I.A.,RUE MARCEL PAUL,SOISSONS,002,02200,LYCEE GEN.ET TECHNOL.PRIVE C.C.I.A.
0061374L,LYCEE GENERAL,VALBONNE (DE),,,006,06565,LYCEE GENERAL VALBONNE (DE)
0100003Z,LYCEE POLYVALENT,GASTON BACHELARD,33 rue GASTON BACHELARD,BAR SUR AUBE CEDEX,010,10202,LYCEE POLYVALENT GASTON BACHELARD
0100004A,LP LYCEE DES METIERS,VAL MORE,13 avenue BERNARD PIEDS,BAR SUR SEINE,010,10110,LP LYCEE DES METIERS VAL MORE
0100015M,LYCEE GENERAL ET TECHNOLOGIQUE,F. ET I. JOLIOT CURIE,1 rue GUY MOQUET,ROMILLY SUR SEINE,010,10100,LYCEE GENERAL ET TECHNOLOGIQUE F. ET I. JOLIOT CURIE
0061884R,LYCEE GENERAL ET TECHNOLOGIQUE,HENRI MATISSE,101  AVENUE FOCH,VENCE,006,06140,LYCEE GENERAL ET TECHNOLOGIQUE HENRI MATISSE
0090019X,LP LYCEE DES METIERS,ARISTIDE BERGES,AVENUE DE LA GARE,ST GIRONS CEDEX,009,09201,LP LYCEE DES METIERS ARISTIDE BERGES
0090022A,LYCEE GEN.ET TECH. AGRICOLE,EPLA DE PAMIERS,ROUTE DE BELPECH,PAMIERS,009,09100,LYCEE GEN.ET TECH. AGRICOLE EPLA DE PAMIERS
0090024C,LP LYCEE DES METIERS,DR PHILIPPE TISSIE,17 RUE DU CAPUS,SAVERDUN,009,09700,LP LYCEE DES METIERS DR PHILIPPE TISSIE
0021768L,CENTRE DE PROMOTION SOCIALE,LYCEE TECH.NAT.BD.DE PRESLE,3 RUE BARA,SOISSONS,002,02200,CENTRE DE PROMOTION SOCIALE LYCEE TECH.NAT.BD.DE PRESLE
0090013R,LYCEE POLYVALENT,,Route DE LIMOUX,MIREPOIX,009,09500,LYCEE POLYVALENT 
0090015T,LYCEE POLYVALENT,PYRENE,PLACE DU MERCADAL,PAMIERS CEDEX,009,09104,LYCEE POLYVALENT PYRENE
0021939X,LYCEE POLYVALENT,JULES VERNE,,CHATEAU THIERRY CEDEX,002,02401,LYCEE POLYVALENT JULES VERNE
0050628F,EMPLOYEUR,LYCEE DOMINIQUE VILLARS,PLACE DE VERDUN,GAP CEDEX,005,05010,EMPLOYEUR LYCEE DOMINIQUE VILLARS
0021960V,SECTION ENSEIGNT PROFESSIONNEL,LYCEE JEAN DE LA FONTAINE,2 RUE MOSBACH,CHATEAU THIERRY CEDEX,002,02405,SECTION ENSEIGNT PROFESSIONNEL LYCEE JEAN DE LA FONTAINE
0021961W,SECTION ENSEIGNT PROFESSIONNEL,LYCEE PIERRE MECHAIN,19 rue LEO LAGRANGE,LAON CEDEX,002,02011,SECTION ENSEIGNT PROFESSIONNEL LYCEE PIERRE MECHAIN
0021692D,CENTRE DE PROMOTION SOCIALE,DU LYCEE TECHNIQUE,BOULEVARD DE PRESLES,SOISSONS,002,02200,CENTRE DE PROMOTION SOCIALE DU LYCEE TECHNIQUE
0021694F,CENTRE DE PROMOTION SOCIALE,LYCEE TECH.PIERRE MECHAIN,,LAON,002,02000,CENTRE DE PROMOTION SOCIALE LYCEE TECH.PIERRE MECHAIN
0040007L,LP LYCEE DES METIERS,ALPHONSE BEAU DE ROCHAS,10  AVENUE GENERAL LECLERC,DIGNE LES BAINS,004,04000,LP LYCEE DES METIERS ALPHONSE BEAU DE ROCHAS
0030025L,LYCEE GENERAL,MADAME DE STAEL,,MONTLUCON CEDEX,003,03103,LYCEE GENERAL MADAME DE STAEL
0050035L,LYCEE GENERAL PRIVE,ST JOSEPH,2 RUE DES PINS,GAP,005,05000,LYCEE GENERAL PRIVE ST JOSEPH
0110710M,LYCEE PROFESSIONNEL AGRICOLE,NARBONNE,CENTRE PIERRE REVERDY,NARBONNE CEDEX,011,11782,LYCEE PROFESSIONNEL AGRICOLE NARBONNE
0090045A,LYCEE PROFESSIONNEL PRIVE,LES JACOBINS,7 BIS RUE DU REMPART TOURONCQ,PAMIERS,009,09100,LYCEE PROFESSIONNEL PRIVE LES JACOBINS
0071439B,LYCEE PROFESSIONNEL PRIVE,VAL EYRIEUX,CHEMIN,ST LAURENT DU PAPE,007,07800,LYCEE PROFESSIONNEL PRIVE VAL EYRIEUX
0062015H,LYCEE GENERAL ET TECHNOLOGIQUE,SIMONE VEIL,1265 ROUTE DE BIOT,VALBONNE,006,06560,LYCEE GENERAL ET TECHNOLOGIQUE SIMONE VEIL
0070001N,LPO LYCEE DES METIERS,BOISSY D'ANGLAS,50 avenue JEAN JAURES,ANNONAY CEDEX,007,07104,LPO LYCEE DES METIERS BOISSY D'ANGLAS
0070004S,LYCEE POLYVALENT,ASTIER,,AUBENAS CEDEX,007,07205,LYCEE POLYVALENT ASTIER
0061642C,LYCEE GENERAL ET TECHNOLOGIQUE,INTERNATIONAL,190  RUE F. MISTRAL,SOPHIA ANTIPOLIS CEDEX,006,06902,LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL
0050542M,COURS DE PROMOTION SOCIALE,LYCEE CLIMATIQUE D ALTITUDE,2 RUE MARIUS CHANCEL,BRIANCON CEDEX,005,05105,COURS DE PROMOTION SOCIALE LYCEE CLIMATIQUE D ALTITUDE
0050547T,COURS DE PROMOTION SOCIALE,LYCEE DOMINIQUE VILLARS,PLACE DE VERDUN,GAP,005,05000,COURS DE PROMOTION SOCIALE LYCEE DOMINIQUE VILLARS
0050550W,COURS DE PROMOTION SOCIALE,LYCEE ARISTIDE BRIAND,20 AVENUE COMMANDANTDUMONT,GAP,005,05000,COURS DE PROMOTION SOCIALE LYCEE ARISTIDE BRIAND
0070016E,LYCEE PROFESSIONNEL,HOTELIER,Route DE TAURIERS,LARGENTIERE,007,07110,LYCEE PROFESSIONNEL HOTELIER
0060773H,LYCEE GEN.ET TECHNOL.PRIVE,DON BOSCO,40  PLACE DON BOSCO,NICE CEDEX 1,006,06046,LYCEE GEN.ET TECHNOL.PRIVE DON BOSCO
0060774J,LYCEE POLYVALENT PRIVE,SAINT JOSEPH,14  RUE BARLA,NICE,006,06300,LYCEE POLYVALENT PRIVE SAINT JOSEPH
0061463H,LYCEE PROFESSIONNEL PRIVE,SAINT JOSEPH,14 RUE BARLA,NICE,006,06300,LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH
0061635V,LYCEE PROFESSIONNEL,AUGUSTE ESCOFFIER,Chemin DU BRECQ,CAGNES SUR MER CEDEX,006,06801,LYCEE PROFESSIONNEL AUGUSTE ESCOFFIER
0121292P,LYCEE PROF.AGRICOLE PRIVE,VAXERGUES ST AFFRIQUE,198 AVENUE DU DR GALTIER,ST AFFRIQUE,012,12400,LYCEE PROF.AGRICOLE PRIVE VAXERGUES ST AFFRIQUE
0061466L,LYCEE TECHNOLOGIQUE PRIVE,INSTITUTION ST JOSEPH-CARNOLES,191 AVENUE ARISTIDE BRIAND,ROQUEBRUNE CAP MARTIN,006,06190,LYCEE TECHNOLOGIQUE PRIVE INSTITUTION ST JOSEPH-CARNOLES
0070029U,LPO LYCEE DES METIERS,GABRIEL FAURE,Place MALLARME,TOURNON SUR RHONE CEDEX,007,07301,LPO LYCEE DES METIERS GABRIEL FAURE
0070031W,LP LYCEE DES METIERS,MARIUS BOUVIER,69 avenue LAMASTRE,TOURNON SUR RHONE CEDEX,007,07301,LP LYCEE DES METIERS MARIUS BOUVIER
0060023T,LYCEE PROFESSIONNEL,FRANCIS DE CROISSET,34 CHEMIN DE LA CAVALERIE,GRASSE,006,06130,LYCEE PROFESSIONNEL FRANCIS DE CROISSET
0060027X,LP LYCEE DES METIERS,PIERRE ET MARIE CURIE,353 AVENUE DU DOYEN JEAN LEPINE,MENTON,006,06500,LP LYCEE DES METIERS PIERRE ET MARIE CURIE
0060028Y,LP LYCEE DES METIERS,PAUL VALERY,1 avenue SAINT JACQUES,MENTON,006,06500,LP LYCEE DES METIERS PAUL VALERY
0060030A,LYCEE GENERAL,MASSENA,2 avenue FELIX FAURE,NICE CEDEX 1,006,06050,LYCEE GENERAL MASSENA
0060031B,LYCEE GENERAL ET TECHNOLOGIQUE,ALBERT CALMETTE,5  AVENUE MARECHAL FOCH,NICE CEDEX 1,006,06050,LYCEE GENERAL ET TECHNOLOGIQUE ALBERT CALMETTE
0060034E,LPO LYCEE DES METIERS,HOTELIER TOURISME-PAUL AUGIER,163 boulevard RENE CASSIN,NICE CEDEX 3,006,06203,LPO LYCEE DES METIERS HOTELIER TOURISME-PAUL AUGIER
0061561P,LP LYCEE DES METIERS,ALFRED HUTINEL,21 rue DE CANNES,CANNES,006,06150,LP LYCEE DES METIERS ALFRED HUTINEL
0060692V,ECOLE 2D DEGRE GENERAL PRIVEE,LYCEE PRIVE MICHELET,46 rue GIOFFREDO,NICE,006,06000,ECOLE 2D DEGRE GENERAL PRIVEE LYCEE PRIVE MICHELET
0060814C,LYCEE PROFESSIONNEL PRIVE,INSTITUTION ST JOSEPH CARNOLES,191 AVENUE ARISTIDE BRIAND,ROQUEBRUNE CAP MARTIN,006,06190,LYCEE PROFESSIONNEL PRIVE INSTITUTION ST JOSEPH CARNOLES
0100697D,COURS DE PROMOTION SOCIALE,DU LYCEE D ETAT,118 AVENUE PASTEUR,,010,10027,COURS DE PROMOTION SOCIALE DU LYCEE D ETAT
0060715V,LYCEE PROFESSIONNEL PRIVE,LA PROVIDENCE,12  AVENUE PIERRE ISNARD,NICE,006,06200,LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE
0060729K,LYCEE GENERAL PRIVE,STANISLAS,25  AVENUE BIECKERT,NICE CEDEX 1,006,06008,LYCEE GENERAL PRIVE STANISLAS
0080855L,CS PROMOTION PROFESSIONNELLE,LYCEE SEVIGNE,14 RUE MADAME DE SEVIGNE,CHARLEVILLE MEZIERES,008,08000,CS PROMOTION PROFESSIONNELLE LYCEE SEVIGNE
0090036R,LYCEE GENERAL PRIVE,NOTRE-DAME,3 PLACE DES CORDELIERS,PAMIERS,009,09100,LYCEE GENERAL PRIVE NOTRE-DAME
0021884M,GRETA GRAND LAONNOIS THIERACHE,LYCÉES P. MÉCHAIN - J. CURIE,17  RUE LÉO LAGRANGE,LAON CEDEX,002,02011,GRETA GRAND LAONNOIS THIERACHE LYCÉES P. MÉCHAIN - J. CURIE
0071237G,LYCEE PROF.AGRICOLE PRIVE,LYCEE PROF PRIVE AGRICOLE,AVENUE VICTOR TASSIN,ST PERAY,007,07130,LYCEE PROF.AGRICOLE PRIVE LYCEE PROF PRIVE AGRICOLE
0071239J,LYCEE PROFESSIONNEL AGRICOLE,LA PELISSIERE VALLEE DU RHONE,4  RUE DU REPOS,TOURNON SUR RHONE,007,07300,LYCEE PROFESSIONNEL AGRICOLE LA PELISSIERE VALLEE DU RHONE
0110019L,LYCEE POLYVALENT,JACQUES RUFFIE,ESPLANADE FRANCOIS MITTERAND,LIMOUX CEDEX,011,11303,LYCEE POLYVALENT JACQUES RUFFIE
0110023R,LYCEE POLYVALENT,LOUISE MICHEL,2 rue JEAN MOULIN,NARBONNE CEDEX,011,11108,LYCEE POLYVALENT LOUISE MICHEL
0110027V,LYCEE PROFESSIONNEL,,1  AVENUE EDOUARD HERRIOT,QUILLAN,011,11500,LYCEE PROFESSIONNEL 
0100687T,LYCEE GEN.ET TECHNOL.AGRICOLE,FORESTIER DE CROGNY,RUE DES ETANGS,LES LOGES MARGUERON,010,10210,LYCEE GEN.ET TECHNOL.AGRICOLE FORESTIER DE CROGNY
0121319U,LYCEE TECHNOLOGIQUE PRIVE,SAINTE-FOY,17 AVENUE CABROL,DECAZEVILLE,012,12300,LYCEE TECHNOLOGIQUE PRIVE SAINTE-FOY
0110669T,LYCEE GEN.ET TECH. AGRICOLE,CHARLEMAGNE,ROUTE DE SAINT HILAIRE,CARCASSONNE,011,11000,LYCEE GEN.ET TECH. AGRICOLE CHARLEMAGNE
0061866W,LYCEE GENERAL PRIVE,SAINT JOSEPH,14 RUE BARLA,NICE,006,06300,LYCEE GENERAL PRIVE SAINT JOSEPH
0081047V,LPO LYCEE DES METIERS,BAZEILLES,Parc DU CHATEAU DE MONTVILLERS,SEDAN CEDEX,008,08206,LPO LYCEE DES METIERS BAZEILLES
0110671V,LYCEE D ENS.PROF.AGRICOLE,,62 AVENUE BUNAU VARILLA,CARCASSONNE,011,11000,LYCEE D ENS.PROF.AGRICOLE 
0061394H,LYCEE PROFESSIONNEL PRIVE,LES FAUVETTES,44 AVENUE JEAN DE NOAILLES,CANNES,006,06400,LYCEE PROFESSIONNEL PRIVE LES FAUVETTES
0060793E,LYCEE GEN.ET TECHNOL.AGRICOLE,AGRICOLE ET HORTICOLE,1285 AVENUE JULES GREC,ANTIBES,006,06600,LYCEE GEN.ET TECHNOL.AGRICOLE AGRICOLE ET HORTICOLE
0061575E,LYCEE TECHNOLOGIQUE PRIVE,STANISLAS,1 PLACE STANISLAS,CANNES CEDEX,006,06403,LYCEE TECHNOLOGIQUE PRIVE STANISLAS
0120051R,LYCEE GENERAL ET TECHNO. PRIVE,JEANNE D'ARC,3 PLACE DU MANDAROUS,MILLAU CEDEX,012,12104,LYCEE GENERAL ET TECHNO. PRIVE JEANNE D'ARC
0120052S,LYCEE GENERAL PRIVE,IMMACULEE CONCEPTION,RUE AUZUECH,ESPALION,012,12500,LYCEE GENERAL PRIVE IMMACULEE CONCEPTION
0120054U,LYCEE GENERAL ET TECHNO. PRIVE,SAINTE-FOY,17 AVENUE CABROL,DECAZEVILLE,012,12300,LYCEE GENERAL ET TECHNO. PRIVE SAINTE-FOY
0120058Y,LYCEE GENERAL PRIVE,SAINTE-PROCULE,22 BOULEVARD DENYS PUECH,RODEZ,012,12000,LYCEE GENERAL PRIVE SAINTE-PROCULE
0120059Z,LYCEE GENERAL ET TECHNO. PRIVE,SAINT-GABRIEL,23  RUE LAMARTINE,ST AFFRIQUE CEDEX,012,12402,LYCEE GENERAL ET TECHNO. PRIVE SAINT-GABRIEL
0120061B,LYCEE GENERAL ET TECHNO. PRIVE,SAINT-JOSEPH,AVENUE ETIENNE SOULIE,VILLEFRANCHE DE ROUERGUE,012,12200,LYCEE GENERAL ET TECHNO. PRIVE SAINT-JOSEPH
0110012D,LYCEE POLYVALENT,JEAN DURAND,Avenue DOCTEUR LAENNEC,CASTELNAUDARY CEDEX,011,11493,LYCEE POLYVALENT JEAN DURAND
0110013E,LP LYCEE DES METIERS,FRANCOIS ANDREOSSY,1 rue SAINT FRANCOIS,CASTELNAUDARY CEDEX,011,11494,LP LYCEE DES METIERS FRANCOIS ANDREOSSY
0100078F,LYCEE PROFESSIONNEL PRIVE,JEANNE MANCE,RUE DU PARADIS,TROYES,010,10000,LYCEE PROFESSIONNEL PRIVE JEANNE MANCE
0110045P,LYCEE POLYVALENT PRIVE,SAINT LOUIS,77  RUE AIME RAMOND,CARCASSONNE,011,11000,LYCEE POLYVALENT PRIVE SAINT LOUIS
0061478Z,LPO LYCEE DES METIERS,LEONARD DE VINCI,214 RUE JEAN JOANNON,ANTIBES CEDEX,006,06633,LPO LYCEE DES METIERS LEONARD DE VINCI
0130164H,LYCEE GENERAL ET TECHNOLOGIQUE,ALPHONSE DAUDET,5  BOULEVARD JULES FERRY,TARASCON CEDEX,013,13158,LYCEE GENERAL ET TECHNOLOGIQUE ALPHONSE DAUDET
0100059K,LYCEE TECHNOLOGIQUE PRIVE,LA SALLE,21 rue DU CLOITRE ST ETIENNE,TROYES,010,10000,LYCEE TECHNOLOGIQUE PRIVE LA SALLE
0100063P,LYCEE PROFESSIONNEL PRIVE,LEONIE AVIAT,3  RUE ETIENNE PEDRON,TROYES,010,10000,LYCEE PROFESSIONNEL PRIVE LEONIE AVIAT
0130171R,LP LYCEE DES METIERS,CHARLES PRIVAT,10 rue LUCIEN GUINTOLI,ARLES CEDEX,013,13632,LP LYCEE DES METIERS CHARLES PRIVAT
0130172S,LYCEE PROFESSIONNEL,LEONARD DE VINCI,8  RUE DU REMPART,MARSEILLE,013,13007,LYCEE PROFESSIONNEL LEONARD DE VINCI
0070021K,LYCEE POLYVALENT,VINCENT D 'INDY,9 boulevard DU LYCEE,PRIVAS CEDEX,007,07006,LYCEE POLYVALENT VINCENT D 'INDY
0080838T,LYCEE PROFESSIONNEL,PAUL VERLAINE,19 RUE NORMANDIE NIEMEN,RETHEL CEDEX,008,08305,LYCEE PROFESSIONNEL PAUL VERLAINE
0133303V,LYCEE PROFESSIONNEL PRIVE,PASTRE - GRANDE BASTIDE,20  AVENUE GDE BASTIDE,MARSEILLE,013,13009,LYCEE PROFESSIONNEL PRIVE PASTRE - GRANDE BASTIDE
0133304W,LYCEE PROFESSIONNEL PRIVE,PERRIMOND JEANNE,244 CHEMIN DU ROUCAS BLANC,MARSEILLE,013,13007,LYCEE PROFESSIONNEL PRIVE PERRIMOND JEANNE
0120096P,LP LYCEE DES METIERS,DU BATIMENT,2 AVENUE DU LYCEE,AUBIN,012,12110,LP LYCEE DES METIERS DU BATIMENT
0120104Y,LYCEE GENERAL ET TECHNO. PRIVE,SAINT-JOSEPH,1 RUE SARRUS,RODEZ,012,12000,LYCEE GENERAL ET TECHNO. PRIVE SAINT-JOSEPH
0120111F,LYCEE PROFESSIONNEL PRIVE,,RUE AUZUECH,ESPALION,012,12500,LYCEE PROFESSIONNEL PRIVE 
0080008R,LPO LYCEE DES METIERS,FRANCOIS BAZIN,145 avenue CHARLES DE GAULLE,CHARLEVILLE MEZIERES CEDEX,008,08013,LPO LYCEE DES METIERS FRANCOIS BAZIN
0080006N,LYCEE GENERAL,CHANZY,13  RUE DELVINCOURT,CHARLEVILLE MEZIERES,008,08000,LYCEE GENERAL CHANZY
0080007P,LYCEE GENERAL ET TECHNOLOGIQUE,SEVIGNE,14  RUE MADAME DE SEVIGNE,CHARLEVILLE MEZIERES CEDEX,008,08013,LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE
0071231A,LYCEE PROFESSIONNEL AGRICOLE,D'ANNONAY,,ANNONAY,007,07100,LYCEE PROFESSIONNEL AGRICOLE D'ANNONAY
0071233C,LYCEE PROF.AGRICOLE PRIVE,CTRE DE FORM FEM LES BLES D OR,,CHALENCON,007,07240,LYCEE PROF.AGRICOLE PRIVE CTRE DE FORM FEM LES BLES D OR
0101015Z,LYCEE PROF PRIVE DES METIERS,LA SALLE,21 rue DU CLOITRE ST ETIENNE,TROYES,010,10000,LYCEE PROF PRIVE DES METIERS LA SALLE
0101016A,LYCEE GENERAL ET TECHNOLOGIQUE,EDOUARD HERRIOT,Rue LA MALADIERE,LA CHAPELLE ST LUC,010,10600,LYCEE GENERAL ET TECHNOLOGIQUE EDOUARD HERRIOT
0080018B,LYCEE GENERAL,VAUBAN,15 rue ANDRE BOUSY,GIVET,008,08600,LYCEE GENERAL VAUBAN
0110053Y,LYCEE PROFESSIONNEL PRIVE,SAINT-FRANCOIS,2 RUE DES AMIDONNIERS,CARCASSONNE,011,11000,LYCEE PROFESSIONNEL PRIVE SAINT-FRANCOIS
0131747D,LYCEE POLYVALENT,AUGUSTE ET LOUIS LUMIERE,Avenue JULES FERRY,LA CIOTAT,013,13600,LYCEE POLYVALENT AUGUSTE ET LOUIS LUMIERE
0121288K,LYCEE PROF.AGRICOLE PRIVE,,208 RUE DES SAULES,BARAQUEVILLE,012,12160,LYCEE PROF.AGRICOLE PRIVE 
0121291N,LYCEE PROF.AGRICOLE PRIVE,HORTICOLE DE RIGNAC,ROUTE DE VILLEFRANCHE,RIGNAC,012,12390,LYCEE PROF.AGRICOLE PRIVE HORTICOLE DE RIGNAC
0133280V,LYCEE PROF PRIVE des METIERS,ST ELOI,9  AVENUE JULES ISAAC,AIX EN PROVENCE CEDEX 1,013,13626,LYCEE PROF PRIVE des METIERS ST ELOI
0133282X,LYCEE PROFESSIONNEL PRIVE,HENRI LEROY,1 rue DES ECOLES,PORT ST LOUIS DU RHONE,013,13230,LYCEE PROFESSIONNEL PRIVE HENRI LEROY
0080081V,LYCEE GENERAL PRIVE,MABILLON,23 avenue MARTYRS DE LA RESISTAN,SEDAN CEDEX,008,08201,LYCEE GENERAL PRIVE MABILLON
0080082W,LYCEE POLYVALENT PRIVE,SAINT PAUL,6  PLACE WINSTON CHURCHILL,CHARLEVILLE MEZIERES,008,08000,LYCEE POLYVALENT PRIVE SAINT PAUL
0133286B,LYCEE TECHNOLOGIQUE PRIVE,BELSUNCE,13  RUE FAUCHIER,MARSEILLE,013,13002,LYCEE TECHNOLOGIQUE PRIVE BELSUNCE
0133288D,LYCEE POLYVALENT,JEAN MONNET,AVENUE RHIN ET DANUBE,VITROLLES,013,13127,LYCEE POLYVALENT JEAN MONNET
0120037A,LP LYCEE DES METIERS,ALEXIS MONTEIL,14  RUE CARNUS,RODEZ CEDEX 9,012,12034,LP LYCEE DES METIERS ALEXIS MONTEIL
0131606A,LP LYCEE DES METIERS,CALADE (LA),430  CHEMIN DE LA MADRAGUE VILLE,MARSEILLE,013,13015,LP LYCEE DES METIERS CALADE (LA)
0060020P,LYCEE GENERAL ET TECHNOLOGIQUE,AMIRAL DE GRASSE,20 AVENUE SAINTE LORETTE,GRASSE,006,06130,LYCEE GENERAL ET TECHNOLOGIQUE AMIRAL DE GRASSE
0060040L,LYCEE PROFESSIONNEL,PASTEUR,25  RUE DU PROFESSEUR DELVALLE,NICE,006,06000,LYCEE PROFESSIONNEL PASTEUR
0060042N,LYCEE PROFESSIONNEL,LES PALMIERS,15 avenue BANCO,NICE,006,06300,LYCEE PROFESSIONNEL LES PALMIERS
0080091F,LYCEE POLYVALENT PRIVE,NOTRE-DAME,1,CHARLEVILLE MEZIERES,008,08000,LYCEE POLYVALENT PRIVE NOTRE-DAME
0110677B,LYCEE GEN.ET TECH. AGRICOLE,PIERRE PAUL RIQUET,935 AVENUE DU DOCTEUR LAENNEC,CASTELNAUDARY CEDEX,011,11491,LYCEE GEN.ET TECH. AGRICOLE PIERRE PAUL RIQUET
0130049H,LYCEE GENERAL ET TECHNOLOGIQUE,REMPART (RUE DU),1 rue DU REMPART,MARSEILLE,013,13007,LYCEE GENERAL ET TECHNOLOGIQUE REMPART (RUE DU)
0130050J,LYCEE POLYVALENT,DENIS DIDEROT,23 boulevard LAVERAN,MARSEILLE CEDEX 13,013,13388,LYCEE POLYVALENT DENIS DIDEROT
0130051K,LYCEE TECHNOLOGIQUE,MARIE CURIE,16  BOULEVARD JEANNE D ARC,MARSEILLE CEDEX 05,013,13392,LYCEE TECHNOLOGIQUE MARIE CURIE
0130053M,LYCEE POLYVALENT,JEAN PERRIN,74  RUE VERDILLON,MARSEILLE CEDEX 10,013,13395,LYCEE POLYVALENT JEAN PERRIN
0130054N,LYCEE PROFESSIONNEL,POINSO-CHAPUIS,49  TRAVERSE PARANGON,MARSEILLE CEDEX 08,013,13272,LYCEE PROFESSIONNEL POINSO-CHAPUIS
0130055P,LYCEE PROFESSIONNEL,CHATELIER (LE),108  AVENUE ROGER SALENGRO,MARSEILLE,013,13003,LYCEE PROFESSIONNEL CHATELIER (LE)
0110047S,LYCEE GENERAL PRIVE,JEANNE D ARC,47 RUE DE LA BAFFE,CASTELNAUDARY,011,11400,LYCEE GENERAL PRIVE JEANNE D ARC
0060668U,LYCEE GENERAL PRIVE,MONT SAINT JEAN,AVENUE DU CHATAIGNIER,ANTIBES,006,06600,LYCEE GENERAL PRIVE MONT SAINT JEAN
0060673Z,LYCEE GEN.ET TECHNOL.PRIVE,STANISLAS,1 PLACE STANISLAS,CANNES CEDEX,006,06414,LYCEE GEN.ET TECHNOL.PRIVE STANISLAS
0060674A,LYCEE GEN.ET TECHNOL.PRIVE,FENELON,7 AVENUE YVES EMMANUEL BAUDOUIN,GRASSE,006,06130,LYCEE GEN.ET TECHNOL.PRIVE FENELON
0060677D,LYCEE GEN.ET TECHNOL.PRIVE,SASSERNO,1  PLACE SASSERNO,NICE,006,06000,LYCEE GEN.ET TECHNOL.PRIVE SASSERNO
0130160D,LYCEE GENERAL ET TECHNOLOGIQUE,EMPERI (L'),21  MONTÉE DU PUECH,SALON DE PROVENCE CEDEX,013,13657,LYCEE GENERAL ET TECHNOLOGIQUE EMPERI (L')
0130170P,LP LYCEE DES METIERS,VAUVENARGUES,60  BOULEVARD CARNOT,AIX EN PROVENCE,013,13100,LP LYCEE DES METIERS VAUVENARGUES
0120038B,LP LYCEE DES METIERS,FERDINAND FOCH,1  RUE VIEUSSENS,RODEZ,012,12000,LP LYCEE DES METIERS FERDINAND FOCH
0130056R,LP LYCEE DES METIERS,FLORIDE (LA),54  BOULEVARD GAY LUSSAC  ZIN 90,MARSEILLE,013,13014,LP LYCEE DES METIERS FLORIDE (LA)
0110997Z,EMOP BUREAUTIQUE AUDIOVISUEL,LYCEE DENIS DIDEROT,2 RUE JEAN MOULIN,NARBONNE,011,11100,EMOP BUREAUTIQUE AUDIOVISUEL LYCEE DENIS DIDEROT
0110814A,COURS PROMOTION PROF.,DU LYCEE TECHNIQUE NATIONALISE,RUE JEAN MOULIN,NARBONNE,011,11100,COURS PROMOTION PROF. DU LYCEE TECHNIQUE NATIONALISE
0110823K,LP LYCEE DES METIERS,CHARLES CROS,1  RUE MICHEL VERGES,CARCASSONNE CEDEX 9,011,11870,LP LYCEE DES METIERS CHARLES CROS
