numero_uai,denomination_principale_uai,patronyme_uai,adresse_uai,localite_acheminement_uai,departement,code_postal_uai,full_name
0311902Z,LYCEE GENERAL ET TECHNOLOGIQUE,STEPHANE HESSEL,44  CHEMIN CASSAING,TOULOUSE CEDEX 5,031,31079,LYCEE GENERAL ET TECHNOLOGIQUE STEPHANE HESSEL
0311131L,LYCEE POLYVALENT PRIVE,SAINTE-THERESE,16  RUE DU BUGATET,ST GAUDENS,031,31800,LYCEE POLYVALENT PRIVE SAINTE-THERESE
0312063Z,LYCEE PROFESSIONNEL PRIVE,CASTELNOUVEL,,LEGUEVIN,031,31490,LYCEE PROFESSIONNEL PRIVE CASTELNOUVEL
0312356T,LYCEE GENERAL PRIVE,OHR TORAH - LEDER INSTITUT,33  RUE JULES DALOU,TOULOUSE,031,31500,LYCEE GENERAL PRIVE OHR TORAH - LEDER INSTITUT
0330102G,LYCEE PROFESSIONNEL,ODILON REDON,2  RUE MAQUIS DES VIGNES OUDIDES,PAUILLAC,033,33250,LYCEE PROFESSIONNEL ODILON REDON
0330109P,LYCEE POLYVALENT,JEAN RENOU,2 rue JEAN RENOU,LA REOLE CEDEX,033,33192,LYCEE POLYVALENT JEAN RENOU
0330119A,LYCEE PROFESSIONNEL,JEHAN DUPERIER,Chemin TIRAN,ST MEDARD EN JALLES CEDEX,033,33165,LYCEE PROFESSIONNEL JEHAN DUPERIER
0330141Z,LYCEE PROFESSIONNEL,G.EIFFEL,143 COURS MARNE,BORDEAUX CEDEX,033,33031,LYCEE PROFESSIONNEL G.EIFFEL
0311971Z,LYCEE PROFESSIONNEL PRIVE,LES POTIERS,4  RUE DU SACHET,TOULOUSE,031,31400,LYCEE PROFESSIONNEL PRIVE LES POTIERS
0311092U,LP LYCEE DES METIERS,EUGENE MONTEL,2 BOULEVARD MARCEL DASSAULT,COLOMIERS,031,31770,LP LYCEE DES METIERS EUGENE MONTEL
0310040A,LYCEE POLYVALENT,RAYMOND NAVES,139  ROUTE D'ALBI,TOULOUSE CEDEX 2,031,31018,LYCEE POLYVALENT RAYMOND NAVES
0310051M,LYCEE PROFESSIONNEL,GUYNEMER,43  RUE LEO LAGRANGE,TOULOUSE,031,31400,LYCEE PROFESSIONNEL GUYNEMER
0311177L,LYCEE TECHNOLOGIQUE PRIVE,SOCIAL ET TECHNIQUE LIMAYRAC,50  RUE DE LIMAYRAC,TOULOUSE CEDEX 5,031,31079,LYCEE TECHNOLOGIQUE PRIVE SOCIAL ET TECHNIQUE LIMAYRAC
0310088C,LP LYCEE DES METIERS,,PLAINE DU LAUDOT,REVEL,031,31250,LP LYCEE DES METIERS 
0332781U,LYCEE PROFESSIONNEL,DE L ESTUAIRE,41 rue JAUFRE RUDEL,BLAYE CEDEX,033,33394,LYCEE PROFESSIONNEL DE L ESTUAIRE
0333025J,SECTION D'APPRENTISSAGE,LYCEE FRANCOIS MAURIAC,1 RUE HENRI DUNANT,BORDEAUX CEDEX,033,33015,SECTION D'APPRENTISSAGE LYCEE FRANCOIS MAURIAC
0332535B,LYCEE PROFESSIONNEL PRIVE,ST JOSEPH,12  AVENUE DU 8 MAI,BLANQUEFORT,033,33290,LYCEE PROFESSIONNEL PRIVE ST JOSEPH
0330020T,LYCEE GENERAL ET TECHNOLOGIQUE,JAUFRE RUDEL,2  RUE URBAIN CHASSELOUP,BLAYE CEDEX,033,33394,LYCEE GENERAL ET TECHNOLOGIQUE JAUFRE RUDEL
0330027A,LYCEE GENERAL ET TECHNOLOGIQUE,FRANCOIS MAURIAC,1 rue HENRI DUNANT,BORDEAUX CEDEX,033,33015,LYCEE GENERAL ET TECHNOLOGIQUE FRANCOIS MAURIAC
0330028B,LYCEE POLYVALENT,GUSTAVE EIFFEL,143  COURS DE LA MARNE,BORDEAUX CEDEX,033,33074,LYCEE POLYVALENT GUSTAVE EIFFEL
0311200L,LYCEE PROF PRIVE DES METIERS,AIRBUS - TOULOUSE,57 chemin DU SANG DE SERP,TOULOUSE CEDEX 9,031,31060,LYCEE PROF PRIVE DES METIERS AIRBUS - TOULOUSE
0311241F,LYCEE D ENS.PROF.AGRICOLE,,,GRENADE,031,31330,LYCEE D ENS.PROF.AGRICOLE 
0332820L,GRETA NORD AQUITAINE,LYCEE CAMILLE JULLIAN,29  RUE CROIX BLANCHE,BORDEAUX CEDEX,033,33074,GRETA NORD AQUITAINE LYCEE CAMILLE JULLIAN
0332831Y,LYCEE GENERAL,SUD MEDOC LA BOETIE,,LE TAILLAN MEDOC,033,33320,LYCEE GENERAL SUD MEDOC LA BOETIE
0332836D,LYCEE TECHNOLOGIQUE LATRESNE,CONSTRUCTIONS AERONAUTIQUES,CHÂTEAU DE LATRESNE,LATRESNE,033,33360,LYCEE TECHNOLOGIQUE LATRESNE CONSTRUCTIONS AERONAUTIQUES
0331585U,LYCEE PROFESSIONNEL PRIVE,ST AUGUSTIN,19  RUE PAUL COURTEAULT,BORDEAUX,033,33000,LYCEE PROFESSIONNEL PRIVE ST AUGUSTIN
0320633P,LYCEE AGRICOLE PRIVE,IAP SAINT-CHRISTOPHE,,MASSEUBE,032,32140,LYCEE AGRICOLE PRIVE IAP SAINT-CHRISTOPHE
0290173F,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE STE ANNE,5 RUE FREDERIC LE GUYADER,QUIMPER CEDEX,029,29334,LYCEE GEN.ET TECHNOL.PRIVE PRIVE STE ANNE
0290195E,LYCEE PROFESSIONNEL PRIVE,SACRE COEUR,10 RUE DU CHANOINE RANNOU,GUISSENY,029,29880,LYCEE PROFESSIONNEL PRIVE SACRE COEUR
0290200K,LYCEE PROF PRIVE DES METIERS,LE PORSMEUR,19 rue DU POULFANC,MORLAIX CEDEX,029,29678,LYCEE PROF PRIVE DES METIERS LE PORSMEUR
0300986J,COURS PROMOTION PROF.,LYCEE TECHNIQUE CAMARGUE,BOULEVARD JEAN JAURES,NIMES,030,30000,COURS PROMOTION PROF. LYCEE TECHNIQUE CAMARGUE
0300028T,LYCEE PROFESSIONNEL PRIVE,CEVENOL,3 QUAI BOISSIER DE SAUVAGES,ALES,030,30100,LYCEE PROFESSIONNEL PRIVE CEVENOL
0280925D,LP LYCEE DES METIERS,GILBERT COURTOIS,2  RUE SALVADOR ALLENDE,DREUX CEDEX,028,28105,LP LYCEE DES METIERS GILBERT COURTOIS
0290010D,LYCEE GENERAL,DE L'HARTELOIRE,1  RUE DU GUESCLIN,BREST CEDEX 1,029,29213,LYCEE GENERAL DE L'HARTELOIRE
0290030A,LPO LYCEE DES METIERS,PIERRE GUEGUIN,,CONCARNEAU CEDEX,029,29182,LPO LYCEE DES METIERS PIERRE GUEGUIN
0342090M,LYCEE POLYVALENT,VICTOR HUGO,300  AVENUE LOUIS MEDARD,LUNEL CEDEX,034,34401,LYCEE POLYVALENT VICTOR HUGO
0332441Z,LP LYCEE DES METIERS,JACQUES BREL,1 rue JEAN LURCAT,LORMONT CEDEX,033,33305,LP LYCEE DES METIERS JACQUES BREL
0341954P,SCE ACADEMIQUE MAT SCIENTIFIQU,LYCEE JOFFRE,150  ALLÉE DE LA CITADELLE,MONTPELLIER CEDEX 2,034,34060,SCE ACADEMIQUE MAT SCIENTIFIQU LYCEE JOFFRE
0341961X,EMOP ESPACES VERTS,LYCEE JEAN MOULIN,AVENUE DES MARTYRS DE LA RESISTA,BEZIERS CEDEX,034,34521,EMOP ESPACES VERTS LYCEE JEAN MOULIN
0340030Y,LYCEE POLYVALENT,LOUIS FEUILLADE,49  RUE ROMAIN ROLLAND,LUNEL CEDEX,034,34402,LYCEE POLYVALENT LOUIS FEUILLADE
0341429U,COURS PROMO.PROFESSIONNELLE,DU LYCEE JOFFRE,ALLEE DE LA CITADELLE,MONTPELLIER CEDEX 2,034,34060,COURS PROMO.PROFESSIONNELLE DU LYCEE JOFFRE
